"State Code","English Name","French Name"
"AK","ALASKA","ALASKA"
"AL","ALABAMA","ALABAMA"
"AR","ARKANSAS","ARKANSAS"
"AZ","ARIZONA","ARIZONA"
"CA","CALIFORNIA","CALIFORNIE"
"CO","COLORADO","COLORADO"
"CT","CONNECTICUT","CONNECTICUT"
"DC","DISTRICT OF COLUMBIA","DISTRICT DE COLUMBIA"
"DE","DELAWARE","DELAWARE"
"FL","FLORIDA","FLORIDE"
"GA","GEORGIA","GEORGIE"
"HI","HAWAII","HAWAI"
"IA","IOWA","IOWA"
"ID","IDAHO","IDAHO"
"IL","ILLINOIS","ILLINOIS"
"IN","INDIANA","INDIANA"
"KS","KANSAS","KANSAS"
"KY","KENTUCKY","KENTUCKY"
"LA","LOUISIANA","LOUISIANE"
"MA","MASSACHUSETTS","MASSACHUSETTS"
"MD","MARYLAND","MARYLAND"
"ME","MAINE","MAINE"
"MI","MICHIGAN","MICHIGAN"
"MN","MINNESOTA","MINNESOTA"
"MO","MISSOURI","MISSOURI"
"MS","MISSISSIPPI","MISSISSIPPI"
"MT","MONTANA","MONTANA"
"NC","NORTH CAROLINA","CAROLINE DU NORD"
"ND","NORTH DAKOTA","DAKOTA DU NORD"
"NE","NEBRASKA","NEBRASKA"
"NH","NEW HAMPSHIRE","NEW HAMPSHIRE"
"NJ","NEW JERSEY","NEW JERSEY"
"NM","NEW MEXICO","NOUVEAU MEXIQUE"
"NV","NEVADA","NEVADA"
"NY","NEW YORK","NEW YORK"
"OH","OHIO","OHIO"
"OK","OKLAHOMA","OKLAHOMA"
"OR","OREGON","OREGON"
"PA","PENNSYLVANIA","PENNSYLVANIE"
"RI","RHODE ISLAND","RHODE ISLAND"
"SC","SOUTH CAROLINA","CAROLINE DU SUD"
"SD","SOUTH DAKOTA","DAKOTA DU SUD"
"TN","TENNESSEE","TENNESSEE"
"TX","TEXAS","TEXAS"
"UT","UTAH","UTAH"
"VA","VIRGINIA","VIRGINIE"
"VT","VERMONT","VERMONT"
"WA","WASHINGTON","WASHINGTON"
"WI","WISCONSIN","WISCONSIN"
"WV","WEST  VIRGINIA","VIRGINIE-OCCIDENTALE"
"WY","WYOMING","WYOMING"
